PID,Process Name,Status,YARA Matches,Hooks Detected,Threat Level,ML Classification,Risk Score,Artifact Path
4056,MemCompression,failed,0,0,ERROR,ERROR,0,N/A
15900,Antigravity.exe,failed,0,0,ERROR,ERROR,0,N/A
8804,pyrefly.exe,failed,0,0,ERROR,ERROR,0,N/A
21300,language_server_windows_x64.exe,failed,0,0,ERROR,ERROR,0,N/A
9860,python.exe,failed,0,0,ERROR,ERROR,0,N/A
20896,Taskmgr.exe,failed,0,0,ERROR,ERROR,0,N/A
6504,MsMpEng.exe,failed,0,0,ERROR,ERROR,0,N/A
9632,explorer.exe,failed,0,0,ERROR,ERROR,0,N/A
8096,Antigravity.exe,failed,0,0,ERROR,ERROR,0,N/A
8028,Antigravity.exe,failed,0,0,ERROR,ERROR,0,N/A
14224,Antigravity.exe,failed,0,0,ERROR,ERROR,0,N/A
7552,powershell.exe,failed,0,0,ERROR,ERROR,0,N/A
15672,msedgewebview2.exe,failed,0,0,ERROR,ERROR,0,N/A
14884,PhoneExperienceHost.exe,failed,0,0,ERROR,ERROR,0,N/A
16004,msedgewebview2.exe,failed,0,0,ERROR,ERROR,0,N/A
2024,dwm.exe,failed,0,0,ERROR,ERROR,0,N/A
11784,Widgets.exe,failed,0,0,ERROR,ERROR,0,N/A
16756,msedge.exe,failed,0,0,ERROR,ERROR,0,N/A
11656,msedgewebview2.exe,failed,0,0,ERROR,ERROR,0,N/A
188,,failed,0,0,ERROR,ERROR,0,N/A
16156,msedge.exe,failed,0,0,ERROR,ERROR,0,N/A
6136,CodeMeter.exe,failed,0,0,ERROR,ERROR,0,N/A
3240,BridgeCommunication.exe,failed,0,0,ERROR,ERROR,0,N/A
12556,ShellExperienceHost.exe,failed,0,0,ERROR,ERROR,0,N/A
11052,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
20324,Copilot.exe,failed,0,0,ERROR,ERROR,0,N/A
17304,TextInputHost.exe,failed,0,0,ERROR,ERROR,0,N/A
18508,audiodg.exe,failed,0,0,ERROR,ERROR,0,N/A
19160,msedgewebview2.exe,failed,0,0,ERROR,ERROR,0,N/A
17472,Antigravity.exe,failed,0,0,ERROR,ERROR,0,N/A
6128,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
4008,Antigravity.exe,failed,0,0,ERROR,ERROR,0,N/A
16456,msedge.exe,failed,0,0,ERROR,ERROR,0,N/A
8052,WhatsApp.Root.exe,failed,0,0,ERROR,ERROR,0,N/A
16304,msedgewebview2.exe,failed,0,0,ERROR,ERROR,0,N/A
4588,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
1716,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
12996,msedgewebview2.exe,failed,0,0,ERROR,ERROR,0,N/A
1552,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
9056,sihost.exe,failed,0,0,ERROR,ERROR,0,N/A
16036,WidgetService.exe,failed,0,0,ERROR,ERROR,0,N/A
16292,msedgewebview2.exe,failed,0,0,ERROR,ERROR,0,N/A
5404,WmiPrvSE.exe,failed,0,0,ERROR,ERROR,0,N/A
20080,RadeonSoftware.exe,failed,0,0,ERROR,ERROR,0,N/A
4780,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
8272,gamingservices.exe,failed,0,0,ERROR,ERROR,0,N/A
1700,RuntimeBroker.exe,failed,0,0,ERROR,ERROR,0,N/A
14108,Antigravity.exe,failed,0,0,ERROR,ERROR,0,N/A
21136,Antigravity.exe,failed,0,0,ERROR,ERROR,0,N/A
5128,ctfmon.exe,failed,0,0,ERROR,ERROR,0,N/A
11440,StartMenuExperienceHost.exe,failed,0,0,ERROR,ERROR,0,N/A
15516,uTorrent.exe,failed,0,0,ERROR,ERROR,0,N/A
5848,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
7880,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
2764,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
3592,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
1892,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
1584,lsass.exe,failed,0,0,ERROR,ERROR,0,N/A
11432,SearchHost.exe,failed,0,0,ERROR,ERROR,0,N/A
3368,TouchpointAnalyticsClientService.exe,failed,0,0,ERROR,ERROR,0,N/A
15712,taskhostw.exe,failed,0,0,ERROR,ERROR,0,N/A
6352,MpDefenderCoreService.exe,failed,0,0,ERROR,ERROR,0,N/A
1736,fontdrvhost.exe,failed,0,0,ERROR,ERROR,0,N/A
15772,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
10916,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
20868,Antigravity.exe,failed,0,0,ERROR,ERROR,0,N/A
6268,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
2496,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
10724,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
11592,Antigravity.exe,failed,0,0,ERROR,ERROR,0,N/A
18660,SearchIndexer.exe,failed,0,0,ERROR,ERROR,0,N/A
3296,NVDisplay.Container.exe,failed,0,0,ERROR,ERROR,0,N/A
4224,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
2296,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
21416,msedgewebview2.exe,failed,0,0,ERROR,ERROR,0,N/A
3484,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
22368,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
10588,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
11824,RuntimeBroker.exe,failed,0,0,ERROR,ERROR,0,N/A
4248,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
5552,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
3348,SysInfoCap.exe,failed,0,0,ERROR,ERROR,0,N/A
6092,CmWebAdmin.exe,failed,0,0,ERROR,ERROR,0,N/A
9140,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
13568,msedgewebview2.exe,failed,0,0,ERROR,ERROR,0,N/A
6592,taskhostw.exe,failed,0,0,ERROR,ERROR,0,N/A
1556,services.exe,failed,0,0,ERROR,ERROR,0,N/A
2812,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
16448,msedge.exe,failed,0,0,ERROR,ERROR,0,N/A
6496,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
9316,NisSrv.exe,failed,0,0,ERROR,ERROR,0,N/A
4992,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
21900,svchost.exe,failed,0,0,ERROR,ERROR,0,N/A
17992,msedgewebview2.exe,failed,0,0,ERROR,ERROR,0,N/A
21540,msedgewebview2.exe,failed,0,0,ERROR,ERROR,0,N/A
